,dato_tid,Solskinstid,Lufttemperatur,Vindretning,Vindstyrke,Lufttrykk
1834,2023-03-18 10:00:00,0.0,5.2,263.8333333333333,1.8666666666666665,1001.1333333333333
1835,2023-03-18 11:00:00,0.0,5.783333333333334,270.5,2.0,1001.3833333333333
1836,2023-03-18 12:00:00,0.0,6.316666666666666,284.1666666666667,1.8833333333333335,1001.4666666666667
1837,2023-03-18 13:00:00,0.0,6.916666666666667,306.1666666666667,1.9666666666666668,1001.6333333333333
1838,2023-03-18 14:00:00,0.0,7.3,298.3333333333333,1.7333333333333334,1001.6999999999999
1839,2023-03-18 15:00:00,0.0,7.55,311.8333333333333,1.8333333333333333,1001.6999999999999
1840,2023-03-18 16:00:00,0.0,8.083333333333334,265.1666666666667,1.0333333333333334,1001.9166666666666
1841,2023-03-18 17:00:00,0.0,6.316666666666666,264.6666666666667,1.1666666666666667,1002.1833333333334
1842,2023-03-18 18:00:00,0.0,4.816666666666667,144.16666666666666,1.3833333333333335,1002.4333333333334
1843,2023-03-18 19:00:00,0.0,4.333333333333333,138.66666666666666,1.3499999999999999,1002.6
1844,2023-03-18 20:00:00,0.0,3.9166666666666665,148.0,0.6666666666666666,1002.75
1845,2023-03-18 21:00:00,0.0,4.05,171.83333333333334,0.26666666666666666,1003.0666666666666
1846,2023-03-18 22:00:00,0.0,4.666666666666667,181.33333333333334,0.5499999999999999,1003.0666666666666
1847,2023-03-18 23:00:00,0.0,4.64,330.0,0.8800000000000001,1003.1
1848,2023-03-19 00:00:00,0.0,4.4799999999999995,289.6,0.74,1002.9399999999999
1849,2023-03-19 01:00:00,0.0,4.516666666666667,209.5,1.0666666666666667,1002.65
1850,2023-03-19 02:00:00,0.0,4.633333333333333,236.83333333333334,0.26666666666666666,1002.0666666666666
1851,2023-03-19 03:00:00,0.0,4.616666666666666,180.0,1.5833333333333333,1001.8333333333334
1852,2023-03-19 04:00:00,0.0,5.2,126.83333333333333,2.0,1001.4833333333332
1853,2023-03-19 05:00:00,0.0,5.566666666666666,132.0,3.5500000000000003,1001.2333333333335
1854,2023-03-19 06:00:00,0.0,6.5200000000000005,149.0,4.680000000000001,1001.24
1855,2023-03-19 07:00:00,0.0,6.116666666666667,138.0,4.216666666666667,1001.4166666666666
1856,2023-03-19 08:00:00,0.0,6.633333333333333,133.16666666666666,4.2,1001.6666666666666
1857,2023-03-19 09:00:00,0.0,6.933333333333334,139.5,3.9333333333333336,1001.9833333333332
1858,2023-03-19 10:00:00,0.0,7.0,143.66666666666666,4.1000000000000005,1002.2333333333335
1859,2023-03-19 11:00:00,0.0,7.116666666666666,146.33333333333334,4.516666666666667,1002.2666666666668
1860,2023-03-19 12:00:00,0.0,7.066666666666666,149.5,5.466666666666666,1002.5
1861,2023-03-19 13:00:00,0.0,6.633333333333333,145.66666666666666,4.516666666666667,1002.4666666666667
1862,2023-03-19 14:00:00,0.0,6.3500000000000005,147.33333333333334,4.316666666666667,1002.2333333333332
1863,2023-03-19 15:00:00,0.0,6.1499999999999995,144.83333333333334,4.2,1001.9499999999999
1864,2023-03-19 16:00:00,0.0,6.066666666666666,142.5,3.783333333333333,1001.7666666666668
1865,2023-03-19 17:00:00,0.0,6.0,145.33333333333334,3.783333333333333,1001.7333333333335
1866,2023-03-19 18:00:00,0.0,5.933333333333334,149.33333333333334,3.1666666666666665,1001.85
1867,2023-03-19 19:00:00,0.0,5.133333333333334,250.66666666666666,3.35,1001.9333333333334
1868,2023-03-19 20:00:00,0.0,3.8333333333333335,305.6666666666667,3.3833333333333333,1002.6666666666666
1869,2023-03-19 21:00:00,0.0,3.5833333333333335,334.0,1.8666666666666665,1003.1833333333334
1870,2023-03-19 22:00:00,0.0,3.6999999999999997,178.16666666666666,1.1666666666666667,1002.8333333333334
1871,2023-03-19 23:00:00,0.0,3.8166666666666664,334.3333333333333,1.4166666666666667,1003.0333333333333
1872,2023-03-20 00:00:00,0.0,3.9166666666666665,322.0,1.7166666666666668,1002.9666666666667
1873,2023-03-20 01:00:00,0.0,3.6999999999999997,299.5,0.9833333333333334,1003.0
1874,2023-03-20 02:00:00,0.0,3.216666666666667,212.83333333333334,0.35000000000000003,1003.1833333333334
1875,2023-03-20 03:00:00,0.0,2.6999999999999997,144.16666666666666,1.0,1003.4
1876,2023-03-20 04:00:00,0.0,2.566666666666667,135.33333333333334,1.2333333333333334,1003.5666666666666
1877,2023-03-20 05:00:00,0.0,2.5,133.83333333333334,1.3499999999999999,1003.6333333333333
1878,2023-03-20 06:00:00,0.0,2.5166666666666666,156.66666666666666,0.9333333333333332,1004.1166666666667
1879,2023-03-20 07:00:00,0.0,2.733333333333333,136.0,1.8666666666666665,1004.6
1880,2023-03-20 08:00:00,0.0,3.4,236.83333333333334,1.55,1004.9666666666667
1881,2023-03-20 09:00:00,0.0,4.833333333333333,232.33333333333334,0.75,1005.2333333333335
1882,2023-03-20 10:00:00,0.0,5.283333333333333,220.33333333333334,0.6166666666666667,1005.5
1883,2023-03-20 11:00:00,0.0,5.566666666666666,264.8333333333333,1.0833333333333333,1005.6666666666666
1884,2023-03-20 12:00:00,0.0,5.75,317.0,1.5666666666666667,1005.6333333333333
1885,2023-03-20 13:00:00,0.0,5.816666666666666,321.8333333333333,1.7,1005.6
1886,2023-03-20 14:00:00,0.0,5.916666666666667,322.8333333333333,2.8166666666666664,1005.8000000000001
1887,2023-03-20 15:00:00,0.0,5.95,305.8333333333333,1.95,1005.4666666666667
1888,2023-03-20 16:00:00,0.0,5.716666666666666,288.3333333333333,1.7666666666666666,1006.0500000000001
1889,2023-03-20 17:00:00,0.0,5.25,298.3333333333333,2.0,1006.3833333333333
1890,2023-03-20 18:00:00,0.0,4.483333333333333,251.0,1.1833333333333333,1006.5
1891,2023-03-20 19:00:00,0.0,3.1166666666666667,145.5,1.1166666666666665,1006.3333333333334
1892,2023-03-20 20:00:00,0.0,2.5,144.16666666666666,1.6666666666666667,1006.1666666666666
1893,2023-03-20 21:00:00,0.0,1.8833333333333335,137.16666666666666,1.5,1006.1999999999999
1894,2023-03-20 22:00:00,0.0,1.4666666666666668,135.83333333333334,1.5666666666666667,1005.9
1895,2023-03-20 23:00:00,0.0,1.4333333333333333,139.33333333333334,1.2166666666666668,1005.5333333333333
1896,2023-03-21 00:00:00,0.0,1.3166666666666667,143.33333333333334,0.85,1005.3166666666666
1897,2023-03-21 01:00:00,0.0,1.46,137.2,1.1400000000000001,1004.74
1898,2023-03-21 02:00:00,0.0,1.3166666666666667,122.66666666666667,0.5166666666666667,1004.2833333333333
1899,2023-03-21 03:00:00,0.0,2.0500000000000003,132.83333333333334,1.3833333333333335,1003.7666666666668
